School Name,Quality Score,Letter Grade,ZIP Code,Academic Score,Resources Score,Equity Score,Outcomes Score,Strengths,Areas for Improvement
KIPP SOUL PRIMARY,25.0,D,30331,28.000000000000004,19.0,16.0,38.0,"Academic, Outcomes","Resources, Equity"
KIPP SOUTH FULTON ACADEMY SCHOOL,26.1,D,30344,28.000000000000004,18.0,15.0,50.0,"Academic, Outcomes","Resources, Equity"
KIPP STRIVE CHARTER SCHOOL,22.7,D,30310,26.0,24.0,13.0,25.0,"Academic, Outcomes","Resources, Equity"
KIPP STRIVE PRIMARY CHARTER SCHOOL,28.3,C,30310,30.0,28.000000000000004,18.0,38.0,"Academic, Outcomes","Resources, Equity"
KIPP VISION CHARTER SCHOOL,22.9,D,30315,25.0,25.0,15.0,25.0,"Academic, Resources, Outcomes",Equity
KIPP VISION PRIMARY CHARTER SCHOOL,26.5,C,30315,30.0,26.0,19.0,25.0,"Academic, Resources","Equity, Outcomes"
KIPP WAYS ACADEMY CHARTER SCHOOL,22.4,D,30314,24.0,24.0,16.0,25.0,"Academic, Resources, Outcomes",Equity
KIPP WAYS PRIMARY CHARTER SCHOOL,27.6,C,30314,28.999999999999996,24.0,20.0,38.0,"Academic, Outcomes","Resources, Equity"
KITTREDGE MAGNET SCHOOL,27.3,C,30329,34.0,13.0,3.0,62.0,"Academic, Outcomes","Resources, Equity"
L. O. KIMBERLY ELEMENTARY SCHOOL,19.7,F,30311,22.0,19.0,13.0,25.0,"Academic, Outcomes","Resources, Equity"
LAKESIDE HIGH SCHOOL,32.7,B,30345,22.0,17.0,54.0,62.0,"Equity, Outcomes","Academic, Resources"
LAUREL RIDGE ELEMENTARY SCHOOL,23.0,D,30033,25.0,14.000000000000002,9.0,50.0,"Academic, Outcomes","Resources, Equity"
LIBERATION ACADEMY,20.2,F,30337,21.0,14.000000000000002,13.0,38.0,"Academic, Outcomes","Resources, Equity"
M. A. JONES ELEMENTARY SCHOOL,22.2,D,30314,25.0,18.0,19.0,25.0,"Academic, Outcomes","Resources, Equity"
MAIN STREET CHARTER ACADEMY,29.3,C,30337,26.0,23.0,30.0,50.0,"Equity, Outcomes","Academic, Resources"
MARGARET HARRIS COMPREHENSIVE SCHOOL,19.7,F,30329,21.0,30.0,2.0,25.0,"Resources, Outcomes","Academic, Equity"
MARTIN L. KING JR. MIDDLE SCHOOL,30.6,C,30312,37.0,21.0,30.0,25.0,"Academic, Equity","Resources, Outcomes"
MARY LIN ELEMENTARY SCHOOL,24.3,D,30307,28.000000000000004,13.0,1.0,62.0,"Academic, Outcomes","Resources, Equity"
MAYNARD JACKSON HIGH SCHOOL,29.7,C,30316,22.0,21.0,52.0,38.0,"Equity, Outcomes","Academic, Resources"
MCLENDON ELEMENTARY SCHOOL,20.6,F,30033,23.0,13.0,11.0,38.0,"Academic, Outcomes","Resources, Equity"
MCNAIR HIGH SCHOOL,21.1,F,30316,21.0,15.0,33.0,12.0,"Academic, Equity","Resources, Outcomes"
MCNAIR MIDDLE SCHOOL,33.8,B,30032,40.0,14.000000000000002,36.0,38.0,"Academic, Outcomes","Resources, Equity"
METRO REGIONAL YOUTH DETENTION CENTER,18.1,F,30316,21.0,14.000000000000002,1.0,38.0,"Academic, Outcomes","Resources, Equity"
MICHAEL R. HOLLIS INNOVATION ACADEMY,24.1,D,30314,24.0,22.0,27.0,25.0,"Equity, Outcomes","Academic, Resources"
MIDTOWN HIGH SCHOOL,26.5,C,30309,22.0,18.0,28.999999999999996,50.0,"Equity, Outcomes","Academic, Resources"
MILES ELEMENTARY SCHOOL,21.8,D,30331,23.0,18.0,20.0,25.0,"Academic, Outcomes","Resources, Equity"
MONTCLAIR ELEMENTARY SCHOOL,23.1,D,30329,25.0,12.0,19.0,38.0,"Academic, Outcomes","Resources, Equity"
MONTGOMERY ELEMENTARY SCHOOL,28.1,C,30319,28.000000000000004,11.0,6.0,88.0,"Academic, Outcomes","Resources, Equity"
MORNINGSIDE ELEMENTARY SCHOOL,20.7,F,30305,26.0,14.000000000000002,4.0,38.0,"Academic, Outcomes","Resources, Equity"
MORRIS BRANDON ELEMENTARY SCHOOL,25.9,D,30327,27.0,16.0,10.0,62.0,"Academic, Outcomes","Resources, Equity"
MUSEUM SCHOOL AVONDALE ESTATES,25.5,D,30002,26.0,18.0,15.0,50.0,"Academic, Outcomes","Resources, Equity"
NARVIE HARRIS ELEMENTARY SCHOOL,25.5,D,30034,26.0,11.0,14.000000000000002,62.0,"Academic, Outcomes","Resources, Equity"
NORTH ATLANTA HIGH SCHOOL,30.2,C,30327,22.0,20.0,46.0,50.0,"Equity, Outcomes","Academic, Resources"
OAK GROVE ELEMENTARY SCHOOL,21.9,D,30345,25.0,15.0,3.0,50.0,"Academic, Outcomes","Resources, Equity"
OAK VIEW ELEMENTARY,24.3,D,30034,26.0,13.0,31.0,25.0,"Academic, Equity","Resources, Outcomes"
OAKHURST ELEMENTARY SCHOOL,23.4,D,30030,27.0,11.0,2.0,62.0,"Academic, Outcomes","Resources, Equity"
PARKLANE ELEMENTARY SCHOOL,21.9,D,30344,24.0,16.0,13.0,38.0,"Academic, Outcomes","Resources, Equity"
PARKSIDE ELEMENTARY SCHOOL,22.8,D,30312,24.0,17.0,16.0,38.0,"Academic, Outcomes","Resources, Equity"
PAUL D. WEST MIDDLE SCHOOL,30.2,C,30344,36.0,16.0,33.0,25.0,"Academic, Equity","Resources, Outcomes"
PAUL L. DUNBAR ELEMENTARY SCHOOL,20.3,F,30312,23.0,20.0,12.0,25.0,"Academic, Outcomes","Resources, Equity"
PEACE ACADEMY CHARTER SCHOOL,18.8,F,30316,21.0,13.0,6.0,38.0,"Academic, Outcomes","Resources, Equity"
PEACHCREST ELEMENTARY SCHOOL,26.0,D,30032,25.0,9.0,28.999999999999996,50.0,"Equity, Outcomes","Academic, Resources"
